team,teamAbb,totalTime6o6,totalTime5o5,totalTime4o4,totalTime6o5,totalTime5o4,totalTime6o4,totalTime5o6,totalTime4o5,totalTime4o6,t6o6,s6o6,t5o5,s5o5,t4o4,s4o4,t6o5,s6o5,t5o4,s5o4,t6o4,s6o4,t5o6,s5o6,t4o5,s4o5,t4o6,s4o6,a6o6,a5o5,a4o4,a6o5,a5o4,a6o4,a5o6,a4o5,a4o6,GA6o6,GA5o5,GA4o4,GA6o5,GA6o4,GA5o4,GA4o5,GA4o6,GA5o6,GF6o6,GF5o5,GF4o4,GF6o5,GF6o4,GF5o4,GF4o5,GF4o6,GF5o6
Anaheim Ducks,ANA,192989,3653,2557,24119,56,3422,24939,1086,876,1013073,22435,17506,441,9960,200,133995,2680,112,2,17493,371,128454,3209,5304,109,4747,119,45.15591709382661,39.69614512471655,49.8,49.99813432835821,56,47.15094339622642,40.02929261452166,48.6605504587156,39.890756302521005,150,1,6,11,0,0,2,3,38,130,2,3,23,2,1,0,0,12
Arizona Coyotes,ARI,192934,2628,2898,24270,519,616,28889,107,118,1023596,22552,14194,309,10330,202,133174,2514,2484,45,3147,57,147141,3355,892,18,654,15,45.388258247605535,45.93527508090615,51.13861386138614,52.97295147175815,55.2,55.21052631578947,43.857228017883756,49.55555555555556,43.6,129,0,4,5,0,0,0,1,29,130,0,2,37,0,0,0,1,5
Boston Bruins,BOS,187249,3557,3403,30199,128,513,25554,119,1007,1007364,21095,19275,384,11925,231,163661,2897,814,15,2118,34,130004,2885,574,11,5403,105,47.753685707513625,50.1953125,51.62337662337662,56.49326889886089,54.266666666666666,62.294117647058826,45.062045060658576,52.18181818181818,51.457142857142856,105,2,4,6,0,0,0,0,35,139,5,4,49,4,1,1,0,9
Buffalo Sabres,BUF,193476,2104,2270,26455,172,467,22720,72,284,1039397,21316,11498,214,8691,165,142916,2448,983,18,2477,41,120240,2627,216,4,1354,29,48.76135297429161,53.728971962616825,52.67272727272727,58.380718954248366,54.611111111111114,60.41463414634146,45.770841263799014,54,46.689655172413794,136,4,6,8,0,0,0,2,43,133,3,4,31,0,0,0,0,4
Calgary Flames,CGY,193358,2695,3331,26333,32,731,23711,301,354,1026243,21717,15042,346,12791,253,144595,2805,96,3,3255,63,124312,2819,1423,35,1471,34,47.25528387898881,43.47398843930636,50.55731225296443,51.549019607843135,32,51.666666666666664,44.09790705924087,40.65714285714286,43.26470588235294,146,3,4,11,0,0,3,1,29,131,4,5,41,1,0,0,1,4
Carolina Hurricanes,CAR,185876,3071,2535,24704,245,817,27663,226,393,989888,21328,16727,373,9190,199,134697,2509,1149,21,4410,97,141482,3280,993,25,2337,56,46.412603150787696,44.84450402144772,46.18090452261306,53.68553208449582,54.714285714285715,45.4639175257732,43.134756097560974,39.72,41.732142857142854,138,2,5,4,0,0,2,1,34,140,3,5,40,2,1,1,0,10
Chicago Blackhawks,CHI,198771,2554,2598,24895,454,1186,21557,344,509,1063221,21493,13370,306,10134,187,133789,2308,2758,42,6091,128,111165,2614,848,23,3731,64,49.46824547527102,43.69281045751634,54.19251336898396,57.96750433275563,65.66666666666667,47.5859375,42.526778882938025,36.869565217391305,58.296875,146,4,3,8,0,0,0,1,35,145,2,5,27,2,2,0,0,10
Colorado Avalanche,COL,184718,3346,1977,25570,374,1922,29518,516,1491,995184,20571,17777,356,8362,157,139967,2454,1116,17,10196,220,155360,3343,2530,42,6918,163,48.378007875164066,49.93539325842696,53.261146496815286,57.036267318663405,65.6470588235294,46.345454545454544,46.47322763984445,60.23809523809524,42.441717791411044,114,5,6,6,0,1,0,1,36,159,0,4,45,4,0,0,0,8
Columbus Blue Jackets,CBJ,199947,3264,2843,26052,316,418,18497,334,517,1050001,22262,16213,347,12022,234,143424,2672,1053,22,1908,34,97261,2349,1100,28,2901,70,47.165618542808375,46.72334293948127,51.376068376068375,53.67664670658683,47.86363636363637,56.11764705882353,41.405278842060454,39.285714285714285,41.44285714285714,123,4,7,6,0,0,4,0,26,126,2,5,27,2,1,0,0,4
Dallas Stars,DAL,187015,3651,2508,23179,288,705,27975,398,2628,992462,22603,18785,412,9937,214,127981,2618,1072,21,4502,101,144505,3330,2070,43,13380,313,43.90841923638455,45.59466019417476,46.43457943925234,48.88502673796791,51.04761904761905,44.57425742574257,43.3948948948949,48.13953488372093,42.74760383386582,113,1,3,2,0,0,2,0,39,109,1,7,36,1,0,0,0,8
